NSID	W9ACTID	W9DACTIVITY4	W9CLJYEND	W9CLENDMO	economic_activity_end_year	W9CLSEMPCHK	W9CLACTIVITY2	W9CLPAIDWK	W9STUDYHRS	W9USUAL	W9CLSICKDIS	W9CLOTHACT10A	W9CLOTHACT10B	W9CLOTHACT10C	W9CLOTHACT10D	W9CLOTHACT10E	W9CLOTHACT10F	W9CLOTHACT10G	W9CLOTHACT10H	W9CLOTHACT10I	W9CLOTHACT10J	W9CLOTHACT10K	W9CLOTHACT10L	W9CLOTHACT10M	W9CLOTHACT10N	W9CLOTHACT10O	W9CLOTHACT10P	W9DACTIVITY3	W9CJWRKHRS	W9CHANHRS0A	W9CHANHRS0B	W9CHANHRS0C	W9CHANHRS0D	W9CHANHRS0E	W9CHANHRS0F	W9CHANHRS0G	W9CHANHRS0H	W9CHANHRS0I	W9CHANHRS0J	W9CHANHRS0K	W9CHANHRS0L	W9CHANHRS0M	W9CHANHRS0N	W9CHANHRS0O	W9CHANHRS0P	W9CHANHRS0Q	W9CHANHRS0R	W9CHANHRS0S	W9CHANHRS0T	W9CHANHRS0U	W9CHANHRS0V	W9CHANHRS0W	W9CLCURACT	W9CLCURACTST	W9LASTLOOP
NS10578Y	4	1	27	2	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3
NS10663A	2	1	9	10	2009	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3
NS10645N	2	1	9	6	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	6
NS11046X	1	2	17	10	2015	-1	10	-1	-1	-1	-1	2	2	2	2	1	2	2	2	2	2	1	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS10787W	3	1	6	11	2022	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	5
NS10909W	4	1	2	7	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS10640H	1	1	18	1	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	10
NS10399J	4	1	10	2	2013	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	7
NS11046X	1	1	1	1	2017	-1	10	-1	-1	-1	-1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3
NS10709R	2	2	9	11	2013	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
